"CREATEDBYID","CREATEDDATE","DESCRIZIONE_OPZIONI_RIDOTTA__C","DESCRIZIONE_OPZIONI__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Moltissimo/Abbastanza/Sufficientemente/Poco/Per nulla","Moltissimo/Abbastanza/Sufficientemente/Poco/Per nulla","a0w1n000006Cr4OAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000001","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Sì/Credo di sì/Sufficientemente/Non ne sono certo/No","Sì, hanno molto talento/Credo di sì, sono abbastanza preparati e competenti/Sufficientemente/Non ne sono certo, forse necessitano di supporto/No, devo sicuramente intervenire","a0w1n000006Cr4PAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000002","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Ottima/Buona/Sufficiente/Migliorabile/Insoddisfacente","Ottima, siamo in sintonia/Buona, siamo abbastanza allineati/Sufficiente/Migliorabile, a volte ci sono tensioni/Insoddisfacente, ci sono molte tensioni","a0w1n000006Cr4QAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000004","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Molto coerenti/Abbastanza coerenti/Mediamente coerenti/Poco coerenti/Non coerenti","Molto coerenti/Abbastanza coerenti/Mediamente coerenti/Poco coerenti/Non coerenti","a0w1n000006Cr4RAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000005","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Molto/Abbastanza/Sufficientemente/Non abbastanza/Per nulla","Sì, molto/Sì, abbastanza/Sufficientemente/No, non abbastanza/No, per nulla","a0w1n000006Cr4SAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000006","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Ottime/Buone/In linea/Da migliorare/Da rivedere","Ottime, mi consentono di essere molto competitivo/Buone, mi consentono di essere abbastanza competitivo/Sono in linea con la concorrenza/Da migliorare, non sono abbastanza competitive/Da rivedere, sono poco competitive","a0w1n000006Cr4TAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000007","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Moltissima/Abbastanza/Sufficiente/Poca/Per nulla","Moltissima/Abbastanza/Sufficiente/Poca/Per nulla","a0w1n000006Cr4UAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000008","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Ottimo/Buono/Sufficiente/Migliorabile/Insoddisfacente","Ottimo, siamo in sintonia/Buono, siamo allineati/Sufficiente, c'è un rapporto adeguato/Migliorabile, ci sono alcune tensioni/Insoddisfacente, ci sono molte tensioni","a0w1n000006Cr4VAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000009","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-26T14:09:17.000Z","Ottimo/Buono/Sufficiente/Migliorabile/Insoddisfacente","Ottimo/Buono/Sufficiente/Migliorabile/Insoddisfacente","a0w1n000006Cr4WAAS","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000010","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molto/Abbastanza/Sufficientemente/Poco/Per nulla","Molto soddisfatto/Abbastanza soddisfatto/Sufficientemente soddisfatto/Poco soddisfatto/Per nulla soddisfatto","a0w1n000006DRa6AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000011","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molto/Abbastanza/Non del tutto/Sufficientemente/Poco","Molto, tutti hanno chiari gli obiettivi e sono davvero motivati/Abbastanza, sono allineati agli obiettivi e motivati/Non del tutto, parte del Team non è allineata/Sufficientemente, anche se alcuni non sono così ingaggiati/Poco, occorre allineare gran part","a0w1n000006DRa7AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000012","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molto/Abbastanza/Sufficientemente/Poco/Per nulla","Molto, credo che la strategia sia vincente/Abbastanza, credo si possano raggiungere buoni risultati/Sufficientemente, alcuni aspetti strategici andrebbero migliorati/Poco, diversi aspetti strategici non mi convincono/Per nulla, la strategia andrebbe rivis","a0w1n000006DRa8AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000013","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Ottima/Buona/Sufficiente/Migliorabile/Insoddisfacente","Ottima, siamo in sintonia/Buona, siamo allineati/Sufficiente, c'è un rapporto adeguato/Migliorabile, ci sono alcune tensioni/Insoddisfacente, ci sono molte tensioni","a0w1n000006DRa9AAG","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000014","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molto competitive/Abbastanza competitive/Mediamente competitive/Poco competitive/Non competitive","Sì, sono molto competitive/Sì, sono abbastanza competitive/Nella media, sono sufficientemente competitive/No, sono poco competitive/No, non sono competitive","a0w1n000006DRaAAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000015","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molto/Abbastanza/Sufficientemente/Non Abbastanza/Per Nulla","Sì, molto/Sì, abbastanza/Sufficientemente/No, non abbastanza/No, per nulla","a0w1n000006DRaBAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000016","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molto/Abbastanza/Non del tutto/Sufficientemente/Poco","Siamo molto solidi e confidenti nel futuro/Abbastanza, stiamo consolidando/Non del tutto, possiamo migliorare/Sufficientemente, su alcuni parametri c'è da lavorare/Poco, c'è molto da fare","a0w1n000006DRaCAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000017","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molta/Abbastanza/Sufficiente/Poca/Per nulla","Molta/Abbastanza/Sufficiente/Poca/Per nulla","a0w1n000006DRaDAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000018","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Ottimo/Buono/Sufficiente/Migliorabile/Insoddisfacente","Ottimo, siamo in sintonia/Buono, siamo allineati/Sufficiente, c'è un rapporto adeguato/Migliorabile, ci sono alcune tensioni/Insoddisfacente, ci sono molte tensioni","a0w1n000006DRaEAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000019","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molto/Abbastanza/Sufficientemente/Poco/Per nulla","Molto, è ottima sia in termini di persone che di processi/Abbastanza, funziona bene ma alcuni aspetti sono affinabili/Sufficientemente, è necessario rivedere alcuni ruoli e processi/Non del tutto sufficiente, ci sono alcuni aspetti su cui intervenire/Poco","a0w1n000006DRaFAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000020","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Molto/Abbastanza/Nella media/Poco/Per nulla","Molto, su alcuni aspetti siamo davvero evoluti/Abbastanza, ma la linea di sviluppo innovativo è tracciata/Nella media, dovremmo affrontare alcuni step di innovazione/Poco, riconosco che sarebbe importante innovare qualcosa/Per nulla, fatichiamo ad innovar","a0w1n000006DRaGAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000021","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000000NtQOQA0","2019-08-30T13:44:05.000Z","Ottimo/Buono/Sufficiente/Non del tutto sufficiente/Insoddisfacente","Ottimo, sono molto efficaci ed efficienti/Buono, sono abbastanza efficaci ed efficienti/Sufficiente, alcuni aspetti devono essere affinati/Non del tutto sufficiente, molti aspetti sono migliorabili/Insoddisfacente, non sono abbastanza funzionali","a0w1n000006DRaHAAW","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000022","0050Y000000NtQOQA0","2019-09-23T15:26:56.000Z"
"0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","Molto/Abbastanza/Sufficientemente/Poco/Per nulla","Molto, ce la faremo senza problemi/Abbastanza, dovremmo quasi esserci/Sufficientemente, dobbiamo spingere un po'/Poco, siamo abbastanza lontani/Per nulla, siamo un po' in difficoltà","a0w1n000006hajiAAA","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000023","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z"
"0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","Molto efficace/Abbastanza efficace/Sufficientemente efficace/Poco efficace/Non efficace","Sì, è molto efficace/Sì, è abbastanza efficace/Nella media, è sufficientemente efficace/No, non è abbastanza efficace/No, non è efficace","a0w1n000006hajjAAA","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000024","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z"
"0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","Molto competitiva/Abbastanza competitiva/Mediamente competitiva/Poco competitiva/Non competitiva","Sì, è molto competitiva/Sì, è abbastanza competitiva/Nella media, è sufficientemente competitiva/No, è poco competitiva/No, non è competitiva","a0w1n000006hajkAAA","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000025","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z"
"0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","Ottimo/Buono/Adeguato/Poco adeguato/Non adeguato","Ottimo, c'è un clima molto collaborativo e orientato agli obiettivi/Buono, c'è un clima abbastanza collaborativo e produttivo/Adeguato, ci sono solo alcune dinamiche da affinare /Non del tutto adeguato, abbiamo alcune situazioni contingenti da aggiustare/","a0w1n000006hajlAAA","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000026","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z"
"0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","Molta/Abbastanza/Nella media/Poca/Nessuna","Molta, c'è massima fiducia nel management/Abbastanza, mi fido delle scelte/Mediamente sento di potermi fidare/Poca, sono un po' diffidente/Per nulla, sono molto diffidente","a0w1n000006hajmAAA","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000027","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z"
"0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","Molto/Abbastanza/Adeguata/Non abbastanza/Per nulla","Sì, è un ottimo strumento di crescita professionale/Sì, è abbastanza utile per la crescita professionale/Adeguata, anche se potrebbe essere potenziata/Non abbastanza, andrebbe migliorata/Per nulla, andrebbe rivista","a0w1n000006hajnAAA","false","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z","","","IOD-00000028","0050Y000001TnJ2QAK","2019-09-23T15:26:56.000Z"
