"CREATEDBYID","CREATEDDATE","DESCRIZIONE_OPZIONI_RIDOTTA__C","DESCRIZIONE_OPZIONI__C","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","SYSTEMMODSTAMP"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Molto competitive/Abbastanza competitive/Mediamente competitive/Poco competitive/Per nulla competitive","Molto competitive/Abbastanza competitive/Mediamente competitive/Poco competitive/Non competitive","a4m0E000000DbSQQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000015","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
"0050Y000000NtQOQA0","2019-07-25T09:56:48.000Z","Ottimo/Buono/Sufficiente/Migliorabile/Insoddisfacente","Ottimo/Buono/Sufficiente/Migliorabile/Insoddisfacente","a4m0E000000DaLvQAK","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000010","0050Y000000NtQOQA0","2019-09-06T12:18:34.000Z"
"0050Y000000NtQOQA0","2019-07-19T14:50:45.000Z","Ottima/Buona/Sufficiente/Migliorabile/Insoddisfacente","Ottima, siamo in sintonia/Buona, siamo abbastanza allineati/Sufficiente/Migliorabile, a volte ci sono tensioni/Insoddisfacente, ci sono molte tensioni","a4m0E000000DaDIQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000004","0050Y000000NtQOQA0","2019-09-06T12:18:34.000Z"
"0050Y000000NtQOQA0","2019-07-25T09:56:48.000Z","Ottimo, siamo in sintonia/Buono, siamo abbastanza allineati/Sufficiente/Migliorabile, a volte ci sono tensioni/Insoddisfacente,","Ottimo, siamo in sintonia/Buono, siamo abbastanza allineati/Sufficiente/Migliorabile, a volte ci sono tensioni/Insoddisfacente, ci sono molte tensioni","a4m0E000000DaLuQAK","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000009","0050Y000000NtQOQA0","2019-09-06T12:18:34.000Z"
"0050Y000000NtQOQA0","2019-07-19T14:50:45.000Z","Moltissimo/Abbastanza/Sufficientemente/Poco/Per nulla","Moltissimo/Abbastanza/Sufficientemente/Poco/Per nulla","a4m0E000000DaDFQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000001","0050Y000000NtQOQA0","2019-09-06T12:18:34.000Z"
"0050Y000000NtQOQA0","2019-07-19T14:50:45.000Z","Molto/Abbastanza/Sufficientemente/Non sufficiente/No","Sì, hanno molto talento/Credo di sì, sono abbastanza preparati e competenti/Sufficientemente/Non ne sono certo, forse necessitano di supporto/No, devo sicuramente intervenire","a4m0E000000DaDGQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000002","0050Y000000NtQOQA0","2019-09-06T12:18:34.000Z"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Ottima/Buona/Migliorabile/Poco soddisfacente/Insoddisfacente","Ottima, siamo in sintonia/Buona, siamo allineati/Sufficiente, c'è un rapporto adeguato/Migliorabile, ci sono alcune tensioni/Insoddisfacente, ci sono molte tensioni","a4m0E000000DbSPQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000014","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Ottimo/Buono/Sufficiente/Non del tutto sufficiente/Insoddisfacente","Ottimo, sono molto efficaci ed efficienti/Buono, sono abbastanza efficaci ed efficienti/Sufficiente, alcuni aspetti devono essere affinati/Non del tutto sufficiente, molti aspetti sono migliorabili/Insoddisfacente, non sono abbastanza funzionali","a4m0E000000DbSXQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000022","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
"0050Y000000NtQOQA0","2019-07-19T14:50:45.000Z","Ottime/Buone/In linea/Da migliorare/Da rivedere","Ottime, mi consentono di essere molto competitivo/Buone, mi consentono di essere abbastanza competitivo/Sono in linea con la concorrenza/Da migliorare, non sono abbastanza competitive/Da rivedere, sono poco competitive","a4m0E000000DaDLQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000007","0050Y000000NtQOQA0","2019-09-06T12:18:34.000Z"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Molto/Abbastanza/Sufficientemente/Non Abbastanza/Per Nulla","Sì, molto/Sì, abbastanza/Sufficientemente/No, non abbastanza/No, per nulla","a4m0E000000DbSRQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000016","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Ottimo/Buono/Sufficiente/Migliorabile/Insoddisfacente","Ottimo, siamo in sintonia/Buono, siamo allineati/Sufficiente, c'è un rapporto adeguato/Migliorabile, ci sono alcune tensioni/Insoddisfacente, ci sono molte tensioni","a4m0E000000DbSUQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000019","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Molta/Abbastanza/Sufficiente/Poca/Per nulla","Molta/Abbastanza/Sufficiente/Poca/Per nulla","a4m0E000000DbSTQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000018","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Molto/Abbastanza/Nella media/Poco/Per nulla","Molto, su alcuni aspetti siamo davvero evoluti/Abbastanza, ma la linea di sviluppo innovativo è tracciata/Nella media, dovremmo affrontare alcuni step di innovazione/Poco, riconosco che sarebbe importante innovare qualcosa/Per nulla, fatichiamo ad innovar","a4m0E000000DbSWQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000021","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
"0050Y000000NtQOQA0","2019-07-25T09:54:14.000Z","Moltissima/Abbastanza/Sufficiente/Poca/Per nulla","Moltissima/Abbastanza/Sufficiente/Poca/Per nulla","a4m0E000000DaLoQAK","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000008","0050Y000000NtQOQA0","2019-09-06T12:18:34.000Z"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Molto/Abbastanza/Sufficientemente/Poco/Per nulla","Molto soddisfatto/Abbastanza soddisfatto/Sufficientemente soddisfatto/Poco soddisfatto/Per nulla soddisfatto","a4m0E000000DbSMQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000011","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
"0050E000005VHptQAG","2019-09-06T12:18:34.000Z","Molto/Abbastanza/Non del tutto/Sufficientemente/Poco","Siamo molto solidi e confidenti nel futuro/Abbastanza, stiamo consolidando/Non del tutto, possiamo migliorare/Sufficientemente, su alcuni parametri c'è da lavorare/Poco, c'è molto da fare","a4m0E000000DbSSQA0","false","0050E000005VHptQAG","2019-09-06T12:18:34.000Z","","","IOD-00000017","0050E000005VHptQAG","2019-09-06T12:18:34.000Z"
