"ABILITA_FEEDBACK__C","ALBERO__C","CONSIDERARE__C","CREATEDBYID","CREATEDDATE","DATA_ORA_FINE_ANALISI__C","DATA_ORA_FINE__C","DATA_ORA_INIZIO_ANALISI__C","DATA_ORA_INIZIO__C","DATA_ORA_NOTIFICA__C","DATA_ORA_ULTIMA_NOTIFICA__C","DESCRIZIONE_EN__C","DESCRIZIONE_IT__C","DOMANDA_EN__C","DOMANDA_IT__C","DOMANDA_NON_VISIBILE__C","DOMANDA_PADRE__C","ETICHETTA_EN__C","ETICHETTA_IT__C","ETICHETTA_RAGGRUPPAMENTO_GENITORE__C","ETICHETTA_RAGGRUPPAMENTO__C","FREQUENZA__C","GRUPPO_RAGGRUPPAMENTO__C","ID","INDICE__C","INSIEME_OPZIONI_DOMANDA__C","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NOTIFICA_RISULTATO__C","OBBLIGATORIA_PER_RISULTATI__C","OBBLIGATORIA__C","ORDINE_RISULTATI_DEALER_RAGGRUPPAMENTO__C","ORDINE__C","OWNERID","PAGINA__C","PARTECIPAZIONE_EVENTO__C","PARTECIPAZIONE_WORKSHOP__C","PRIORITA__C","QUESTIONARIO__C","RAGG_VISUALIZZABILE_DA_DEALER_IN__C","RAGG_VISUALIZZABILE_DA_MANAGER_IN__C","RAGGRUPPAMENTO__C","RANGE_VALUTAZIONE__C","RISULTATO_NON_VISIBILE__C","SEZIONE__C","SUGGERIMENTO__C","SYSTEMMODSTAMP","TESTO_EN__C","TESTO_IT__C","TIPOLOGIA__C","URL_COVER__C","VISIBILE__C","WORKSHOP__C"
"true","","false","0050E000009RpenQAC","2022-03-31T09:44:02.000Z","","","","","","","Description PartWork-00238","Descrizione PartWork-00238","Question PartWork-00238","Domanda PartWork-00238","false","a0X0E000005a1ZeUAI","Label PartWork-00238","Etichetta PartWork-00238","","","","","a0X0E000005aBUEUA2","","","false","0050E000009RpenQAC","2022-03-31T09:44:02.000Z","2022-04-07T14:46:19.000Z","2022-04-07T14:46:19.000Z","Domanda PartWork-00238","","","true","0.0","3.0","0050E000009RpenQAC","2.0","","","","a0W0E000002U9rPUAS","","","","5.0","false","1.0","Suggerimento","2022-03-31T09:44:02.000Z","Text PartWork-00238","Testo PartWork-00238","Valutazione multipla","","false",""
"true","","false","0050E000009RpenQAC","2022-03-29T08:11:21.000Z","","","","","","","Description PartEvent-01282","Descrizione PartEvent-01282","Question PartEvent-01282","Domanda PartEvent-01282","false","a0X0E000005ZnbAUAS","Label PartEvent-01282","Etichetta PartEvent-01282","","","","","a0X0E000005a4IVUAY","","","false","0050E000009RpenQAC","2022-03-31T10:00:40.000Z","2022-04-07T14:46:11.000Z","2022-04-07T14:46:11.000Z","Domanda PartEvent-01282","","","true","0.0","3.0","0050E000009RpenQAC","1.0","a0H0E00000BMxzlUAD","","","a0W0E000002U9rPUAS","","","","5.0","false","1.0","Suggerimento","2022-03-31T10:00:40.000Z","Text PartEvent-01282","Testo PartEvent-01282","Valutazione multipla","https://quintegia--dev--c.documentforce.com/servlet/servlet.ImageServer?id=0150E00000050V5&oid=00D0E0000008gAz&lastMod=1504097979000","false",""
"true","","false","0050E000009RpenQAC","2022-03-29T08:09:32.000Z","","","","","","","Description One P1-S2-D1","Descrizione Uno P1-S2-D1","Question One P1-S2-D1","Domanda Uno P1-S2-D1","false","","Label One P1-S2-D1","Etichetta Uno P1-S2-D1","","","","","a0X0E000005a4IQUAY","","","false","0050E000009RpenQAC","2022-03-29T08:09:32.000Z","2022-04-07T14:21:03.000Z","2022-04-07T14:21:03.000Z","Domanda Uno P1-S2-D1","","","true","0.0","1.0","0050E000009RpenQAC","1.0","","","","a0W0E000002U9rPUAS","","","","5.0","false","2.0","Suggerimento","2022-03-29T08:09:32.000Z","Text One P1-S2-D1","Testo Uno P1-S2-D1","Valutazione multipla","","false",""
"true","","false","0050E000005VHptQAG","2019-09-27T09:13:36.000Z","2020-04-28T15:00:00.000Z","2020-04-28T15:00:00.000Z","2020-04-14T07:00:00.000Z","2020-04-14T07:00:00.000Z","2020-04-14T07:00:00.000Z","","","","","Quanto ritiene efficace l’EMDP (Employee Motivation Development Program)?","false","","Employee Motivation Development Program","Employee Motivation Development Program","","Employee Motivation Development Program","Trim.","TMI","a0X0E000003diVWUAY","","a4m0E000000DbVDQA0","false","0050E000000SMCWQA4","2020-02-20T10:34:17.000Z","","","DTMI-000237","2019-12-29T15:00:00.000Z","","false","11.0","10.0","0050E000005VHptQAG","","","","2.0","a0W0E000004978VUAQ","More Results","Motivation Insight","a4r0E000000DGsWQAW","9.0","false","","","2020-02-20T10:34:17.000Z","","","Radio con commento","","false",""
"true","","false","0050Y000000NtQOQA0","2022-03-23T17:02:04.000Z","","","","","","","Description Valutazione delle startup","Descrizione Valutazione delle startup","Question Valutazione delle startup","Domanda Valutazione delle startup","false","","Label Valutazione delle startup","Etichetta Valutazione delle startup","","","","","a0X0E000005ZnbAUAS","","","false","0050E000009RpenQAC","2022-03-31T09:16:54.000Z","2022-04-07T14:51:16.000Z","2022-04-07T14:51:16.000Z","Valutazione delle startup","","","true","0.0","1.0","0050Y000000NtQOQA0","1.0","","","","a0W0E000002U9rPUAS","","","","5.0","false","1.0","Suggerimento","2022-03-31T09:16:54.000Z","Text Valutazione delle startup","Testo Valutazione delle startup","Valutazione multipla","","false",""
"true","","false","0050E000009RpenQAC","2022-04-07T14:23:12.000Z","","","","","","","Description Valutazione degli Generale","Descrizione Valutazione degli Generale","Question Valutazione degli Generale","Domanda Valutazione degli Generale","false","","Label Valutazione degli Generale","Etichetta Valutazione degli Generale","","","","","a0X0E000005aVk0UAE","","","false","0050E000009RpenQAC","2022-04-07T14:23:12.000Z","2022-04-07T14:54:36.000Z","2022-04-07T14:54:36.000Z","Valutazione degli Generale","","","true","0.0","5.0","0050E000009RpenQAC","2.0","","","","a0W0E000002U9rPUAS","","","","9.0","false","1.0","Suggerimento","2022-04-07T14:23:12.000Z","Text Valutazione degli Generale","Testo Valutazione degli Generale","Valutazione","","false",""
"true","","false","0050E000009RpenQAC","2022-03-29T07:41:52.000Z","","","","","","","Description PartEvent-01281","Descrizione PartEvent-01281","Question PartEvent-01281","Domanda PartEvent-01281","false","a0X0E000005ZnbAUAS","Label PartEvent-01281","Etichetta PartEvent-01281","","","","","a0X0E000005a4HmUAI","","","false","0050E000009RpenQAC","2022-03-31T10:14:08.000Z","2022-04-07T14:46:09.000Z","2022-04-07T14:46:09.000Z","Domanda PartEvent-01281","","","true","0.0","2.0","0050E000009RpenQAC","1.0","a0H0E00000BMxzgUAD","","","a0W0E000002U9rPUAS","","","","5.0","false","1.0","Suggerimento","2022-03-31T10:14:08.000Z","Text PartEvent-01281","Testo PartEvent-01281","Valutazione multipla","https://quintegia--dev--c.documentforce.com/servlet/servlet.ImageServer?id=0150E00000050V5&oid=00D0E0000008gAz&lastMod=1504097979000","false",""
"true","","false","0050E000009RpenQAC","2022-03-31T09:40:43.000Z","","","","","","","Description PartWork-00227","DescrizionePartWork-00227","Question PartWork-00227","Domanda PartWork-00227","false","a0X0E000005a1ZeUAI","Label PartWork-00227","Etichetta PartWork-00227","","","","","a0X0E000005aBU4UAM","","","false","0050E000009RpenQAC","2022-03-31T09:40:43.000Z","2022-04-07T14:46:14.000Z","2022-04-07T14:46:14.000Z","Domanda PartWork-00227","","","true","0.0","1.0","0050E000009RpenQAC","2.0","","","","a0W0E000002U9rPUAS","","","","5.0","false","1.0","Suggerimento","2022-03-31T09:40:43.000Z","Text PartWork-00227","Testo PartWork-00227","Valutazione multipla","","false",""
"true","","false","0050E000009RpenQAC","2022-03-29T07:21:07.000Z","","","","","","","Description PartEvent-01283","Descrizione PartEvent-01283","Question PartEvent-01283","Domanda PartEvent-01283","false","a0X0E000005ZnbAUAS","Label PartEvent-01283","Etichetta PartEvent-01283","","","","","a0X0E000005a4HcUAI","","","false","0050E000009RpenQAC","2022-03-31T09:55:55.000Z","2022-04-07T14:46:02.000Z","2022-04-07T14:46:02.000Z","Domanda PartEvent-01283","","","true","0.0","1.0","0050E000009RpenQAC","1.0","a0H0E00000BMxzqUAD","","","a0W0E000002U9rPUAS","","","","5.0","false","1.0","Suggerimento","2022-03-31T09:55:55.000Z","Text PartEvent-01283","Testo PartEvent-01283","Valutazione multipla","","false",""
"true","","false","0050E000009RpenQAC","2022-03-28T16:09:59.000Z","","","","","","","Description Valutazione degli Speaker","Descrizione Valutazione degli Speaker","Question Valutazione degli Speaker","Domanda Valutazione degli Speaker","false","","Label Valutazione degli Speaker","Etichetta Valutazione degli Speaker","","","","","a0X0E000005a1ZeUAI","","","false","0050E000009RpenQAC","2022-03-31T09:38:33.000Z","2022-04-07T14:23:18.000Z","2022-04-07T14:23:18.000Z","Valutazione degli Speaker","","","true","0.0","1.0","0050E000009RpenQAC","2.0","","","","a0W0E000002U9rPUAS","","","","5.0","false","1.0","Suggerimento","2022-03-31T09:38:33.000Z","Text Valutazione degli Speaker","Testo Valutazione degli Speaker","Valutazione multipla","","false",""
